L,β,e,c,m,χ,U
4,0.6385527638190954,-1.936434375,0.24495379352551852,0.9817109375,0.04106426948254564,0.6628634682730834
4,0.643572864321608,-1.938921875,0.23845977920872308,0.9824921875,0.03916511559374726,0.663052890129715
4,0.6485929648241207,-1.942021875,0.22896629035235025,0.9833609375,0.037873205000122555,0.663240687209127
4,0.6536130653266332,-1.945053125,0.2197300939890938,0.98426875,0.036110412639765416,0.6634600511741522
4,0.6586331658291458,-1.9477,0.2090975737800159,0.985196875,0.032257048028982896,0.6637077071403064
4,0.6636532663316583,-1.94964375,0.20576440835909215,0.985784375,0.031244626275583626,0.663830519821285
4,0.6686733668341709,-1.95195625,0.19812036672972938,0.9864546875,0.02949221896366159,0.6639760428449366
4,0.6736934673366834,-1.95446875,0.1882558216940934,0.9872859375,0.026841473562941948,0.6641934631607546
4,0.678713567839196,-1.9567125,0.18110491153278596,0.988003125,0.024775696378095444,0.664363624281872
4,0.6837336683417086,-1.958121875,0.17810585199291293,0.98835,0.02481364770436516,0.6644199780093771
4,0.6887537688442211,-1.960171875,0.17196886911472428,0.9888828125,0.024231972751859843,0.6645203921156785
4,0.6937738693467337,-1.9620375,0.16534421536545496,0.989540625,0.021619737309413443,0.6646862935669677
4,0.6987939698492462,-1.963721875,0.15918219830693492,0.990015625,0.020618171077876533,0.6647849940982631
